index,before_pt,after_pt,before_area,after_area
52,1,1,0,0,0.000000
52,1,1,0,0,0.000000
52,4,4,0,0,0.000000
52,3,2,0,0,0.000000
52,9,4,0,0,0.000000
52,5,3,0,0,0.000000
52,6,4,0,0,0.000000
52,2,2,0,0,0.000000
52,32,15,0,0,0.000000
52,1,1,0,0,0.000000
52,70,22,0,0,0.000000
52,4,2,0,0,0.000000
53,13,5,8982,8971,0.122467
53,105,27,9262,9201,0.658605
53,93,23,10258,10191,0.653149
53,80,17,28807,28757,0.173569
53,78,13,302,286,5.298013
54,12,5,5770,5771,0.017331
54,65,23,9093,9061,0.351919
54,11,6,163,138,15.337423
54,71,18,8703,8585,1.355854
54,3,3,1,1,0.000000
54,1,1,15,15,0.000000
54,90,24,8465,8266,2.350857
54,16,8,21455,21486,0.144488
54,91,26,105,86,18.095238
54,74,27,0,0,0.000000
55,2,2,34001,33900,0.297050
55,1,1,3,3,0.000000
55,12,7,6,3,50.000000
55,1,1,3,3,0.000000
55,10,4,29,28,3.448276
55,33,16,191,139,27.225130
55,2,2,37042,36857,0.499433
55,1,1,1836,1833,0.163399
55,3,2,6,3,50.000000
55,138,68,171,168,1.754386
55,3,3,21,16,23.809525
55,2,2,119,90,24.369747
55,4,3,3148,3157,0.285896
55,6,4,10,4,60.000000
55,12,6,1,1,0.000000
55,5,3,3,3,0.000000
55,14,10,468,456,2.564103
55,3,2,61,53,13.114754
55,49,18,1,1,0.000000
55,254,120,142,108,23.943663
55,1,1,1,1,0.000000
55,5,3,6,6,0.000000
55,8,6,0,0,0.000000
55,3,2,0,0,0.000000
55,5,3,0,0,0.000000
55,2,2,0,0,0.000000
55,4,3,0,0,0.000000
55,1,1,0,0,0.000000
55,2,2,0,0,0.000000
55,15,9,0,0,0.000000
55,54,25,0,0,0.000000
55,1,1,0,0,0.000000
55,13,8,0,0,0.000000
55,6,4,0,0,0.000000
55,2,2,0,0,0.000000
55,3,2,0,0,0.000000
55,2,2,0,0,0.000000
55,237,87,0,0,0.000000
55,5,3,0,0,0.000000
55,4,3,0,0,0.000000
55,10,7,0,0,0.000000
55,1,1,0,0,0.000000
56,123,26,3517,3491,0.739266
56,166,29,4411,4347,1.450918
56,58,27,19121,19134,0.067988
56,164,29,19260,19152,0.560748
56,159,32,18891,18962,0.375840
56,152,33,13856,13811,0.324769
56,54,15,19102,19085,0.088996
56,2,2,14462,14399,0.435624
56,29,8,0,0,0.000000
57,60,19,5101,5043,1.137032
57,99,32,19165,18906,1.351422
57,123,34,22664,22421,1.072185
57,110,27,18024,18044,0.110963
57,42,12,7123,6927,2.751650
58,79,17,20412,20330,0.401724
58,169,48,9174,9161,0.141705
59,99,21,17723,17671,0.293404
59,1,1,9877,9903,0.263238
59,166,36,18092,17859,1.287862
59,93,22,1,1,0.000000
59,155,37,9067,8946,1.334510
60,21,8,27480,27218,0.953421
60,119,23,12981,12968,0.100146
60,183,38,750,762,1.600000
61,44,25,9165,9094,0.774686
61,73,33,15833,15620,1.345291
61,68,28,16030,15792,1.484716
61,72,26,15884,15731,0.963233
61,76,23,17149,17174,0.145781
61,92,31,16777,16676,0.602015
61,55,14,9018,9023,0.055445
62,3,3,38785,38519,0.685832
62,4,3,5858,5935,1.314442
62,1,1,1,1,0.000000
62,4,3,1,1,0.000000
62,1,1,10,10,0.000000
62,6,5,1,1,0.000000
62,226,95,1,1,0.000000
62,1,1,12,3,75.000000
62,40,22,47121,46891,0.488105
62,1,1,27,19,29.629629
62,2,2,540,535,0.925926
62,7,6,4,4,0.000000
62,27,14,4,4,0.000000
62,2,2,4,4,0.000000
62,1,1,1,1,0.000000
62,14,7,4,4,0.000000
62,2,2,1,1,0.000000
62,3,2,119,116,2.521008
62,17,9,5,5,0.000000
62,2,2,128,122,4.687500
62,18,7,14,11,21.428572
62,1,1,3,97,3133.333252
62,2,2,110,1,99.090912
62,1,1,1,586,58500.000000
62,2,2,618,61,90.129448
62,2,2,61,45300,74162.296875
62,2,2,45362,46,99.898590
62,27,14,52,1,98.076920
62,1,1,1,12,1100.000000
62,6,4,18,1,94.444443
62,250,98,1,10,900.000000
62,8,6,19,11,42.105263
62,2,2,11,0,100.000000
62,3,2,0,0,0.000000
62,1,1,0,0,0.000000
62,2,2,0,0,0.000000
62,7,5,0,0,0.000000
62,8,5,0,0,0.000000
62,2,2,0,0,0.000000
62,12,8,0,0,0.000000
62,1,1,0,0,0.000000
62,8,5,0,0,0.000000
62,2,2,0,0,0.000000
62,2,2,0,0,0.000000
62,4,3,0,0,0.000000
62,2,2,0,0,0.000000
62,8,6,0,0,0.000000
62,5,4,0,0,0.000000
62,2,2,0,0,0.000000
62,1,1,0,0,0.000000
62,1,1,0,0,0.000000
62,10,5,0,0,0.000000
62,6,4,0,0,0.000000
62,1,1,0,0,0.000000
62,1,1,0,0,0.000000
62,45,22,0,0,0.000000
62,1,1,0,0,0.000000
62,1,1,0,0,0.000000
62,26,12,0,0,0.000000
62,13,8,0,0,0.000000
62,4,3,0,0,0.000000
62,2,2,0,0,0.000000
62,5,3,0,0,0.000000
62,4,2,0,0,0.000000
62,1,1,0,0,0.000000
62,1,1,0,0,0.000000
62,1,1,0,0,0.000000
62,3,3,0,0,0.000000
62,1,1,0,0,0.000000
62,96,46,0,0,0.000000
62,2,2,0,0,0.000000
62,2,2,0,0,0.000000
62,8,5,0,0,0.000000
62,2,2,0,0,0.000000
62,4,3,0,0,0.000000
62,7,5,0,0,0.000000
62,43,23,0,0,0.000000
62,1,1,0,0,0.000000
62,217,99,0,0,0.000000
62,8,6,0,0,0.000000
62,6,4,0,0,0.000000
62,3,3,0,0,0.000000
63,4,3,10584,10532,0.491308
63,97,22,10252,10216,0.351151
63,84,21,9850,9843,0.071066
63,84,23,10026,10038,0.119689
63,85,20,9732,9604,1.315249
63,84,26,14,8,42.857143
64,39,14,2588,2612,0.927357
64,1,1,14647,14555,0.628115
64,14,7,9221,9192,0.314499
64,72,16,11,11,0.000000
64,84,18,11,7,36.363636
64,1,1,1,1,0.000000
64,63,16,1,1,0.000000
64,1,1,149,155,4.026845
64,11,7,1,1,0.000000
64,3,2,1,1,0.000000
64,335,138,57563,57159,0.701840
64,14,10,9,5,44.444443
64,1,1,80,76,5.000000
64,8,5,1,1,0.000000
64,9,7,8816,8790,0.294918
64,1,1,1,1,0.000000
64,31,10,7892,7914,0.278763
64,5,4,8652,8541,1.282940
64,1,1,158,151,4.430380
64,1,1,4202,4186,0.380771
64,11,6,0,0,0.000000
64,1,1,0,0,0.000000
64,1,1,0,0,0.000000
64,3,2,0,0,0.000000
64,3,3,0,0,0.000000
64,70,17,0,0,0.000000
64,104,42,0,0,0.000000
64,14,10,0,0,0.000000
64,32,9,0,0,0.000000
65,206,64,5015,5031,0.319043
65,2,2,974,980,0.616016
65,1,1,16,9,43.750000
65,4,3,45,45,0.000000
65,2,2,17896,17757,0.776710
65,6,4,1,1,0.000000
65,2,2,1,1,0.000000
65,2,2,1,1,0.000000
65,70,28,1,1,0.000000
65,1,1,1,1,0.000000
65,1,1,1,1,0.000000
65,12,7,56,53,5.357143
65,5,4,6,3,50.000000
65,3,2,41805,41785,0.047841
65,6,5,0,0,0.000000
65,1,1,0,0,0.000000
65,1,1,0,0,0.000000
65,1,1,0,0,0.000000
65,1,1,0,0,0.000000
65,1,1,0,0,0.000000
65,1,1,0,0,0.000000
65,184,83,0,0,0.000000
65,1,1,0,0,0.000000
65,1,1,0,0,0.000000
65,6,5,0,0,0.000000
65,6,2,0,0,0.000000
65,50,30,0,0,0.000000
65,94,36,0,0,0.000000
66,9,4,3751,3748,0.079979
66,85,22,3365,3403,1.129272
66,17,7,17456,17499,0.246334
66,2,2,18001,18080,0.438864
66,8,5,18080,18188,0.597345
66,158,31,7597,7500,1.276820
66,166,24,17193,17141,0.302449
66,48,14,16800,16747,0.315476
66,166,25,58,53,8.620689
66,171,31,4,4,0.000000
66,166,31,734,692,5.722071
66,53,13,12421,12252,1.360599
66,29,9,135,120,11.111111
67,57,12,17176,17169,0.040755
67,45,9,17134,17126,0.046691
67,188,30,17913,17875,0.212136
67,148,35,17769,17626,0.804772
67,141,27,17414,17423,0.051683
67,142,34,3184,3145,1.224874
67,154,32,5045,4985,1.189296
68,83,25,3627,3626,0.027571
68,28,9,16729,16570,0.950445
69,25,9,13498,13503,0.037043
69,103,27,3073,3118,1.464367
69,127,26,13035,12945,0.690449
69,139,26,13860,13822,0.274170
69,83,21,13697,13720,0.167920
69,39,10,14322,14261,0.425918
69,117,27,1939,1951,0.618876
70,64,24,16073,15908,1.026566
70,131,29,15315,15409,0.613777
70,118,26,16201,16158,0.265416
70,58,23,12952,12879,0.563619
70,66,26,16336,16183,0.936582
70,84,24,15920,15862,0.364322
71,88,23,7508,7384,1.651572
71,138,31,15857,15813,0.277480
71,109,32,16200,16163,0.228395
71,84,26,13986,14101,0.822251
71,77,29,16135,16096,0.241711
